"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","X","mm","kp.kgf","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
0.449680742945214,0.609375,0.428571428571429,0.357142857142857,0.538461538461538,0.618581907090465,0.428571428571429,0.35398773006135,0.136986301369863,0.0625210461331238,0.8,0.191382978723404,0.3,0.904809619238477,0.5,0.415696202531646,0,0,0.333333333333333,0.440944881889764,0.254777070063694,0.0949,0.185,0.293,0.407
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.550005612302166,1,0.265957446808511,0,0,0.5,0.227848101265823,0,0,1,0.6,0.203821656050955,0.188,0.25,0.322,0.388
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.213267482321248,0.4,0.776595744680851,0,0,1,0,0,0,1,0,0,0.275,0.448,0.603,0.733
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.512978723404255,1,0,0,0,0,0,0.333333333333333,0.8,0,0.234,0.355,0.451,0.533
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,1,0.372340425531915,0,0,0.5,0.240506329113924,1,0.25,0.333333333333333,0.755905511811024,0,0.107,0.135,0.162,0.225
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.550005612302166,0.6,0.478723404255319,0,0,0,0,0,0,0.333333333333333,0.503937007874016,0,0.525,0.701,0.877,0.977
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.213267482321248,0.4,0.0297872340425532,0,0,1,0.888607594936709,0,0,1,0,0,0.424,0.665,0.863,0.949
1,0.9375,0.857142857142857,1,0.384615384615385,1,1,1,0.156555772994129,0.68593557077113,0.4,0.343297872340426,0,0,0,0,0,0,0.333333333333333,0.818897637795276,0.273885350318471,0.122,0.45,0.516,0.579
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.4,0.106382978723404,0,0,0.5,0.79746835443038,0,0,0.666666666666667,0.8,0.213375796178344,0.448,0.672,0.968,0.997
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,0.4,0.319148936170213,0,0,0.5,0.240506329113924,1,0.375,0.333333333333333,0.755905511811024,0,0.123,0.357,0.578,0.724
