"MW_API","melting.point_API","XLogP3_API","Hydrogen.Bond.Donor.Count_API","Hydrogen.Bond.Acceptor.Count_API","Rotatable.Bond.Count_API","Topological.Polar.Surface.Area_API","Heavy.Atom.Count_API","Complexity_API","logS_API","logP_API","Pka","N.of.repeat.units_polymer","Monomer.Weight_polymer","Hydrogen.Bond.Donor.Count_polymer","Hydrogen.Bond.Acceptor.Count_polymer","Rotatable.Bond.Count_polymer","Complexity_polymer","Topological.Polar.Surface.Area_polymer","technich","Drug.loading.ratio","Dose.mg.","dissolution.method","surfactant","pH.1.2_simulated.gastric.fluid","pH.4.5_buffer.solution","pH.6.8_PBS","pH.6.5_FaSSIF","pH.6.8_SIF","water","pH.7.4_PBS","rotation.speed.rpm.","volume.ml","X5min","X10min","X15min","X20min","X30min","X45min","X60min"
0.279691444246901,0.626666666666667,0.673267326732673,0.105263157894737,0.4,0.272727272727273,0.130981887511916,0.272727272727273,0.234603061587754,0.34,0.234718826405868,0.750701590271281,0.0316807469986661,0.800244922448687,0.333333333333333,0.75,0.592592592592593,0.2536875,0.618598559266536,0,0.183673469387755,0.231738614164783,0,1,0,0,0,1,0,0,0,0,0.388888888888889,0.052,0.4653,0.5445,0.5919,0.6774,0.7039,0.6856
0.315957847196086,0.09,0.207920792079208,0.421052631578947,0.52,0.272727272727273,0.416587225929457,0.318181818181818,0.260946956212175,0.78,0,0.669317118802619,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.23469387755102,0.0880989772857854,1,0,0,0,0,0,0,1,0,0,0.888888888888889,0.0171,0.043,0.0795,0.2161,0.5931,0.8433,0.8945
0.177419558031756,0.395,0.683168316831683,0.0526315789473684,0.16,0.318181818181818,0.126406101048618,0.181818181818182,0.183339266642933,0.38,0.370823145884271,0.930308699719364,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,0.5,0.183673469387755,0.22216263837285,0,1,0,0,1,0,0,0,0,0,0.888888888888889,0.7738,0.9458,0.9983,0.9984,0.9913,0.9938,0.988
0.0512154677862062,0.18,0.673267326732673,0.0526315789473684,0.08,0.136363636363636,0.0587225929456625,0.0568181818181818,0.048059807760769,0.42,0.32681336593317,0.506080449017774,0.0356825255669186,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.23469387755102,0.107250928869652,1,1,0,0,0,0,0,1,0,0.5,0.888888888888889,7e-04,0.0187,0.0325,0.0432,0.0596,0.0696,0.0824
0.426544392880258,0.213333333333333,0.851485148514851,0.210526315789474,0.32,0.818181818181818,0.372735938989514,0.420454545454545,0.316482734069064,0.06,0.381418092909535,0.939195509822264,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.0816326530612245,0.375378251043781,1,0,1,0,0,0,0,0,0,0,0.888888888888889,0.3733,0.8454,0.9529,0.9733,0.9835,1,1
0.104922183920897,0.366666666666667,0.732673267326733,0,0.08,0.227272727272727,0.0482364156339371,0.102272727272727,0.060875756496974,0.26,0.504482477587612,0.748362956033676,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.489795918367347,0.107250928869652,0,0,0,0,0,0,0,0,1,0,0.222222222222222,0.5736,0.6329,0.675,0.7277,0.825,0.9019,0.9991
0.144286899844573,0.546666666666667,0.415841584158416,0.157894736842105,0.16,0.0909090909090909,0.16835081029552,0.147727272727273,0.189747241011036,0.56,0.181744091279544,0.816183348924228,0.00889284126278346,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.23469387755102,0.00383039031677328,0,0,0,0,0,0,0,1,0,0.5,0.0555555555555556,0.9746,0.9888,0.9968,0.9923,0.9958,1,1
0.247852439990363,0.376666666666667,0.722772277227723,0.157894736842105,0.16,0.363636363636364,0.220209723546234,0.227272727272727,0.211819152723389,0.14,0.343928280358598,0.501403180542563,0.0316807469986661,0.800244922448687,0.333333333333333,0.75,0.592592592592593,0.2536875,0.618598559266536,0,0.489795918367347,0.068947025701919,1,0,0,0,0,0,0,0,1,0.5,0.888888888888889,0.0092,0.036,0.0716,0.1125,0.2038,0.2868,0.3753
0.217536215223701,0.393333333333333,0.702970297029703,0.0526315789473684,0.24,0.5,0.16091515729266,0.227272727272727,0.232823068707725,0.16,0.458027709861451,0,0.0323477100933748,0.302606834545259,0,0.25,0.111111111111111,0.489130434782609,0.172233136869679,0,0.0408163265306122,0.00766078063354656,0,1,0,0,0,0,0,1,0,0,0.444444444444444,0.1263,0.4282,0.6499,0.7458,0.8534,0.8698,0.9587
0.162325616552471,0.306666666666667,0.544554455445545,0.0526315789473684,0.28,0.272727272727273,0.243088655862726,0.170454545454545,0.2249911000356,0.32,0.277913610431948,0.272684752104771,0.200422409959982,0.0223765984883763,0.166666666666667,0.125,0.037037037037037,0.135597826086957,0.111329404060249,1,0.489795918367347,0.0306431225341862,0,0,0,0,0,1,0,0,0,0,0,0.0631,0.1001,0.1313,0.1363,0.1505,0.1414,0.1369
0.150776428570304,0.371523333333333,0.683168316831683,0.0526315789473684,0.24,0.136363636363636,0.106005719733079,0.136363636363636,0.136703453186187,0.3482,0.329747351263244,0.679092609915809,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,1,0.387755102040816,0.758417282721109,0,0,0,1,0,0,0,0,0,0,1,0.1858,0.3606,0.4561,0.51,0.5988,0.6803,0.737
0.143444410674889,0.66,0.217821782178218,0.0526315789473684,0.28,0.0909090909090909,0.127359389895138,0.147727272727273,0.171947312210751,0.74,0.0888345558272209,0.554256314312441,0.0356825255669186,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.693877551020408,0.375378251043781,0,0,0,0,0,0,0,1,0,0.5,1,0.0043,0.0097,0.0129,0.0139,0.0226,0.0466,0.0651
0.260818112099877,0.54,0.346534653465347,0.105263157894737,0.44,0.545454545454545,0.395614871306006,0.25,0.290850836596654,0.58,0.0162999185004075,0.446679139382601,0,1,0.666666666666667,0.875,1,0.834239130434783,0.692206941715783,1,0.489795918367347,0.216076148159497,0,0,1,0,0,0,0,0,0,0.5,0.888888888888889,0.2986,0.5625,0.7078,0.7889,0.901,0.9876,0.9981
0.491935725162711,0.233333333333333,0.524752475247525,0.157894736842105,0.44,0.318181818181818,0.32697807435653,0.5,0.47312210751157,0.16,0.295843520782396,0.765201122544434,0.00833703868385949,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,1,0.15,0.0114911709503198,0,0,0,1,0,0,0,0,0,0,0.888888888888889,0.1832,0.6383,0.6836,0.7577,0.8727,0.8744,0.8586
0.260818112099877,0.54,0.346534653465347,0.105263157894737,0.44,0.545454545454545,0.395614871306006,0.25,0.290850836596654,0.58,0.0162999185004075,0.446679139382601,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.489795918367347,0.216076148159497,0,0,1,0,0,0,0,0,0,0.5,0.888888888888889,0.2479,0.4879,0.6345,0.729,0.8464,0.9489,0.9848
0.101698678630538,0.163333333333333,0.574257425742574,0,0.04,0.227272727272727,0.0650142993326978,0.113636363636364,0.0847276610893556,0.56,0.264873675631622,0.539289055191768,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.0306122448979592,0.216076148159497,1,0,0,0,0,0,0,0,1,0.5,1,0.1057,0.1487,0.1851,0.3008,0.5225,0.7815,0.9654
0.0149608754328583,0.0733333333333333,0.396039603960396,0.105263157894737,0.12,0.227272727272727,0.099904671115348,0.0113636363636364,0,1,0.097799511002445,0.936389148737137,0.145953757225434,0.277904144428126,0.166666666666667,0.375,0.148148148148148,0.418478260869565,0.283562540929928,0,0.183673469387755,0.183858735205117,0,0,1,0,0,0,0,0,0,0,0.888888888888889,0.01,0.0241,0.0341,0.0482,0.052,0.0806,0.084
