"MW_API","melting.point_API","XLogP3_API","Hydrogen.Bond.Donor.Count_API","Hydrogen.Bond.Acceptor.Count_API","Rotatable.Bond.Count_API","Topological.Polar.Surface.Area_API","Heavy.Atom.Count_API","Complexity_API","logS_API","logP_API","Pka","N.of.repeat.units_polymer","Monomer.Weight_polymer","Hydrogen.Bond.Donor.Count_polymer","Hydrogen.Bond.Acceptor.Count_polymer","Rotatable.Bond.Count_polymer","Complexity_polymer","Topological.Polar.Surface.Area_polymer","technich","Drug.loading.ratio","Dose.mg.","dissolution.method","surfactant","pH.1.2_simulated.gastric.fluid","pH.4.5_buffer.solution","pH.6.8_PBS","pH.6.5_FaSSIF","pH.6.8_SIF","water","pH.7.4_PBS","rotation.speed.rpm.","volume.ml","X5min","X10min","X15min","X20min","X30min","X45min","X60min"
0.0920289501325149,0.76,0.693069306930693,0.105263157894737,0.08,0.181818181818182,0.0816015252621544,0.0681818181818182,0.0544677821288715,0.26,0.441727791361043,0.48643592142189,0,1,0.666666666666667,0.875,1,0.834239130434783,0.692206941715783,0,0.285714285714286,0.0306431225341862,0,0,0,0,0,0,0,1,0,0,0.444444444444444,0.3416,0.3517,0.3583,0.3661,0.375,0.3837,0.3845
0.426544392880258,0.213333333333333,0.851485148514851,0.210526315789474,0.32,0.818181818181818,0.372735938989514,0.420454545454545,0.316482734069064,0.06,0.381418092909535,0.939195509822264,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.0816326530612245,0.375378251043781,1,0,1,0,0,0,0,0,0,0,0.888888888888889,0.3733,0.8454,0.9529,0.9733,0.9835,1,1
0.193915023550328,0.576666666666667,0.396039603960396,0.0526315789473684,0.2,0.227272727272727,0.187797902764538,0.193181818181818,0.200783196867213,0.3482,0.242868785656072,0.679092609915809,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.316326530612245,0.375378251043781,0,0,0,0,1,0,0,0,0,0,1,0.9258,0.9183,0.9181,0.9122,0.9137,0.8941,0.891
0.805814120118484,0.806666666666667,1,0.263157894736842,0.44,0.681818181818182,0.51954242135367,0.818181818181818,0.775720897116412,0.9,1,0.85266604303087,0.0299021787461094,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.0306122448979592,0.095759757919332,0,0,0,0,0,0,0,1,0,0,0.888888888888889,0.4466,0.6515,0.7825,0.8238,0.8669,0.8722,0.8854
0.188461677766002,0.266666666666667,0.722772277227723,0.0526315789473684,0.16,0.318181818181818,0.126406101048618,0.193181818181818,0.197579209683161,0.32,0.403422982885086,0.996725912067353,0.0579146287238773,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.183673469387755,0.068947025701919,1,1,0,0,0,0,0,1,0,0.5,0.888888888888889,0.5935,0.9139,0.9798,1,0.9987,0.9963,1
0.162325616552471,0.306666666666667,0.544554455445545,0.0526315789473684,0.28,0.272727272727273,0.243088655862726,0.170454545454545,0.2249911000356,0.32,0.277913610431948,0.272684752104771,0.200422409959982,0.0223765984883763,0.166666666666667,0.125,0.037037037037037,0.135597826086957,0.111329404060249,1,0.489795918367347,0.0306431225341862,0,0,0,0,0,1,0,0,0,0,0,0.0631,0.1001,0.1313,0.1363,0.1505,0.1414,0.1369
0.182338277511208,0.32,0.614554455445545,0.0526315789473684,0.2,0.227272727272727,0.171210676835081,0.136363636363636,0.10751156995372,0.3482,0.329747351263244,0.522918615528531,0.00700311249444197,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.122448979591837,0.145554832037385,1,0,0,0,1,0,0,0,0,0.5,0.888888888888889,0.0294,0.0462,0.0734,0.1616,0.3444,0.6944,0.8642
0.150776428570304,0.371523333333333,0.683168316831683,0.0526315789473684,0.24,0.136363636363636,0.106005719733079,0.136363636363636,0.136703453186187,0.3482,0.329747351263244,0.679092609915809,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,1,0.387755102040816,0.758417282721109,0,0,0,1,0,0,0,0,0,0,1,0.1858,0.3606,0.4561,0.51,0.5988,0.6803,0.737
0.315957847196086,0.09,0.207920792079208,0.421052631578947,0.52,0.272727272727273,0.416587225929457,0.318181818181818,0.260946956212175,0.78,0,0.669317118802619,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.23469387755102,0.0880989772857854,1,0,0,0,0,0,0,1,0,0,0.888888888888889,0.0171,0.043,0.0795,0.2161,0.5931,0.8433,0.8945
0.491935725162711,0.233333333333333,0.524752475247525,0.157894736842105,0.44,0.318181818181818,0.32697807435653,0.5,0.47312210751157,0.16,0.295843520782396,0.765201122544434,0.00833703868385949,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,1,0.23469387755102,0.0114911709503198,0,0,0,1,0,0,0,0,0,0,0.888888888888889,0.2133,0.6892,0.7755,0.8684,0.9789,0.9777,0.9712
